Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","24/09/2021 09:52 UTC"
"Last updated:","18 June 2021"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=6ijzZj
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:,AFG
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2006,Afghanistan,AFG,Afghanistan,AFG,0,0,129310,,0,0
2006,Afghanistan,AFG,Egypt,EGY,31,0,0,,0,0
2006,Afghanistan,AFG,Australia,AUS,7908,15,0,,0,0
2006,Afghanistan,AFG,Austria,AUT,3664,1575,0,,0,0
2006,Afghanistan,AFG,Azerbaijan,AZE,104,33,0,,0,372
2006,Afghanistan,AFG,Belgium,BEL,226,17,0,,0,0
2006,Afghanistan,AFG,Belarus,BLR,491,9,0,,0,0
2006,Afghanistan,AFG,Brazil,BRA,5,0,0,,0,0
2006,Afghanistan,AFG,Bulgaria,BGR,1967,395,0,,0,0
2006,Afghanistan,AFG,Canada,CAN,14419,294,0,,0,0
2006,Afghanistan,AFG,China,CHN,7,0,0,,0,0
2006,Afghanistan,AFG,Chile,CHL,17,0,0,,0,0
2006,Afghanistan,AFG,Cuba,CUB,0,5,0,,0,0
2006,Afghanistan,AFG,Cyprus,CYP,5,134,0,,0,0
2006,Afghanistan,AFG,Czechia,CZE,237,0,0,,0,0
2006,Afghanistan,AFG,Denmark,DNK,6306,61,0,,0,0
2006,Afghanistan,AFG,Ecuador,ECU,32,0,0,,0,0
2006,Afghanistan,AFG,Finland,FIN,1883,59,0,,0,0
2006,Afghanistan,AFG,France,FRA,1238,0,0,,0,0
2006,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,23069,0,0,,0,0
2006,Afghanistan,AFG,Georgia,GEO,5,0,0,,0,0
2006,Afghanistan,AFG,Germany,DEU,21879,3999,0,,0,0
2006,Afghanistan,AFG,Greece,GRC,171,498,0,,0,0
2006,Afghanistan,AFG,Hungary,HUN,2357,5,0,,0,0
2006,Afghanistan,AFG,"Cote d'Ivoire",CIV,14,0,0,,0,0
2006,Afghanistan,AFG,India,IND,9472,137,0,,0,0
2006,Afghanistan,AFG,Indonesia,IDN,65,10,0,,0,0
2006,Afghanistan,AFG,Ireland,IRL,99,112,0,,0,0
2006,Afghanistan,AFG,"Iran (Islamic Rep. of)",IRN,914260,526,0,,0,0
2006,Afghanistan,AFG,Italy,ITA,473,0,0,,0,0
2006,Afghanistan,AFG,Japan,JPN,55,5,0,,0,0
2006,Afghanistan,AFG,Kazakhstan,KAZ,588,21,0,,0,0
2006,Afghanistan,AFG,Kyrgyzstan,KGZ,256,201,0,,0,0
2006,Afghanistan,AFG,Kuwait,KWT,0,44,0,,0,0
2006,Afghanistan,AFG,Lebanon,LBN,6,0,0,,0,0
2006,Afghanistan,AFG,"Sri Lanka",LKA,5,0,0,,0,0
2006,Afghanistan,AFG,Lithuania,LTU,96,0,0,,0,0
2006,Afghanistan,AFG,"Rep. of Moldova",MDA,12,0,0,,0,0
2006,Afghanistan,AFG,Malaysia,MYS,55,30,0,,0,0
2006,Afghanistan,AFG,Malta,MLT,8,0,0,,0,0
2006,Afghanistan,AFG,Netherlands,NLD,21357,1293,0,,0,0
2006,Afghanistan,AFG,Norway,NOR,4084,787,0,,0,0
2006,Afghanistan,AFG,"New Zealand",NZL,961,0,0,,0,0
2006,Afghanistan,AFG,Pakistan,PAK,1043984,2091,0,,0,0
2006,Afghanistan,AFG,Poland,POL,79,0,0,,0,0
2006,Afghanistan,AFG,Portugal,PRT,5,0,0,,0,0
2006,Afghanistan,AFG,Qatar,QAT,40,0,0,,0,0
2006,Afghanistan,AFG,Romania,ROU,272,0,0,,0,0
2006,Afghanistan,AFG,"South Africa",ZAF,18,0,0,,0,0
2006,Afghanistan,AFG,"Russian Federation",RUS,1202,230,0,,0,100000
2006,Afghanistan,AFG,"Saudi Arabia",SAU,0,10,0,,0,0
2006,Afghanistan,AFG,Spain,ESP,74,0,0,,0,0
2006,Afghanistan,AFG,Slovakia,SVK,93,330,0,,0,0
2006,Afghanistan,AFG,Sweden,SWE,4278,591,0,,0,0
2006,Afghanistan,AFG,Switzerland,CHE,1726,189,0,,0,0
2006,Afghanistan,AFG,"Syrian Arab Rep.",SYR,299,355,0,,0,0
2006,Afghanistan,AFG,Tajikistan,TJK,917,238,0,,0,0
2006,Afghanistan,AFG,Turkmenistan,TKM,710,0,0,,0,0
2006,Afghanistan,AFG,Turkey,TUR,75,338,0,,0,0
2006,Afghanistan,AFG,"United Arab Emirates",ARE,5,0,0,,0,0
2006,Afghanistan,AFG,Ukraine,UKR,1189,216,0,,0,0
2006,Afghanistan,AFG,"United States of America",USA,13242,106,0,,0,0
2006,Afghanistan,AFG,Uzbekistan,UZB,1415,0,0,,0,0
2007,Afghanistan,AFG,Afghanistan,AFG,0,0,153718,,0,0
2007,Afghanistan,AFG,Egypt,EGY,28,0,0,,0,0
2007,Afghanistan,AFG,Australia,AUS,4990,12,0,,0,0
2007,Afghanistan,AFG,Austria,AUT,4191,1544,0,,0,0
2007,Afghanistan,AFG,Azerbaijan,AZE,108,43,0,,0,411
2007,Afghanistan,AFG,Belgium,BEL,151,0,0,,0,0
2007,Afghanistan,AFG,Belarus,BLR,454,5,0,,0,0
2007,Afghanistan,AFG,Brazil,BRA,5,0,0,,0,0
2007,Afghanistan,AFG,Bulgaria,BGR,1990,380,0,,0,0
2007,Afghanistan,AFG,Canada,CAN,3470,405,0,,0,0
2007,Afghanistan,AFG,China,CHN,7,0,0,,0,0
2007,Afghanistan,AFG,Chile,CHL,17,0,0,,0,0
2007,Afghanistan,AFG,Cyprus,CYP,5,107,0,,0,0
2007,Afghanistan,AFG,Czechia,CZE,242,16,0,,0,0
2007,Afghanistan,AFG,Denmark,DNK,5378,58,0,,0,0
2007,Afghanistan,AFG,Ecuador,ECU,74,25,0,,0,0
2007,Afghanistan,AFG,Estonia,EST,6,0,0,,0,0
2007,Afghanistan,AFG,Finland,FIN,517,44,0,,0,0
2007,Afghanistan,AFG,France,FRA,1273,0,0,,0,0
2007,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,23565,0,0,,0,0
2007,Afghanistan,AFG,Georgia,GEO,5,0,0,,0,0
2007,Afghanistan,AFG,Germany,DEU,24236,2223,0,,0,0
2007,Afghanistan,AFG,Greece,GRC,174,1061,0,,0,0
2007,Afghanistan,AFG,"China, Hong Kong SAR",HKG,0,5,0,,0,0
2007,Afghanistan,AFG,Hungary,HUN,2293,19,0,,0,0
2007,Afghanistan,AFG,"Cote d'Ivoire",CIV,14,0,0,,0,0
2007,Afghanistan,AFG,India,IND,9011,690,0,,0,0
2007,Afghanistan,AFG,Indonesia,IDN,49,12,0,,0,0
2007,Afghanistan,AFG,Ireland,IRL,106,118,0,,0,0
2007,Afghanistan,AFG,"Iran (Islamic Rep. of)",IRN,906071,967,0,,0,0
2007,Afghanistan,AFG,Italy,ITA,1138,0,0,,0,0
2007,Afghanistan,AFG,Japan,JPN,56,10,0,,0,0
2007,Afghanistan,AFG,Kazakhstan,KAZ,404,5,0,,0,0
2007,Afghanistan,AFG,Kyrgyzstan,KGZ,277,344,0,,0,0
2007,Afghanistan,AFG,Kuwait,KWT,5,21,0,,0,0
2007,Afghanistan,AFG,Lebanon,LBN,9,6,0,,0,0
2007,Afghanistan,AFG,"Sri Lanka",LKA,5,0,0,,0,0
2007,Afghanistan,AFG,Lithuania,LTU,97,0,0,,0,0
2007,Afghanistan,AFG,"Rep. of Moldova",MDA,12,0,0,,0,0
2007,Afghanistan,AFG,Malaysia,MYS,68,122,0,,0,0
2007,Afghanistan,AFG,Malta,MLT,8,0,0,,0,0
2007,Afghanistan,AFG,Netherlands,NLD,17296,0,0,,0,0
2007,Afghanistan,AFG,Norway,NOR,2925,646,0,,0,0
2007,Afghanistan,AFG,"New Zealand",NZL,162,5,0,,0,0
2007,Afghanistan,AFG,Pakistan,PAK,2034416,2518,0,,0,0
2007,Afghanistan,AFG,Poland,POL,76,5,0,,0,0
2007,Afghanistan,AFG,Portugal,PRT,6,0,0,,0,0
2007,Afghanistan,AFG,Qatar,QAT,40,0,0,,0,0
2007,Afghanistan,AFG,Romania,ROU,274,0,0,,0,0
2007,Afghanistan,AFG,"South Africa",ZAF,18,0,0,,0,0
2007,Afghanistan,AFG,"Russian Federation",RUS,1315,2072,0,,0,0
2007,Afghanistan,AFG,"Saudi Arabia",SAU,0,9,0,,0,0
2007,Afghanistan,AFG,Spain,ESP,69,0,0,,0,0
2007,Afghanistan,AFG,Slovakia,SVK,87,7,0,,0,0
2007,Afghanistan,AFG,Sweden,SWE,2611,624,0,,0,0
2007,Afghanistan,AFG,Switzerland,CHE,1609,251,0,,0,0
2007,Afghanistan,AFG,"Syrian Arab Rep.",SYR,226,463,0,,0,0
2007,Afghanistan,AFG,Thailand,THA,5,0,0,,0,0
2007,Afghanistan,AFG,Tajikistan,TJK,1126,142,0,,0,0
2007,Afghanistan,AFG,Turkmenistan,TKM,85,0,0,,0,0
2007,Afghanistan,AFG,Turkey,TUR,212,701,0,,0,0
2007,Afghanistan,AFG,"United Arab Emirates",ARE,5,0,0,,0,0
2007,Afghanistan,AFG,Ukraine,UKR,1171,319,0,,0,0
2007,Afghanistan,AFG,"United States of America",USA,2365,73,0,,0,0
2007,Afghanistan,AFG,Uzbekistan,UZB,1047,0,0,,0,0
2008,Afghanistan,AFG,Afghanistan,AFG,0,0,230670,,0,0
2008,Afghanistan,AFG,Egypt,EGY,28,0,0,,0,0
2008,Afghanistan,AFG,Australia,AUS,4933,28,0,,0,0
2008,Afghanistan,AFG,Austria,AUT,5387,2016,0,,0,0
2008,Afghanistan,AFG,Azerbaijan,AZE,125,24,0,,0,469
2008,Afghanistan,AFG,Belgium,BEL,196,0,0,,0,0
2008,Afghanistan,AFG,Belarus,BLR,436,29,0,,0,0
2008,Afghanistan,AFG,Brazil,BRA,5,0,0,,0,0
2008,Afghanistan,AFG,Bulgaria,BGR,2012,377,0,,0,0
2008,Afghanistan,AFG,Canada,CAN,3147,613,0,,0,0
2008,Afghanistan,AFG,Chile,CHL,16,0,0,,0,0
2008,Afghanistan,AFG,Cyprus,CYP,6,75,0,,0,0
2008,Afghanistan,AFG,Czechia,CZE,226,22,0,,0,0
2008,Afghanistan,AFG,Denmark,DNK,5214,82,0,,0,0
2008,Afghanistan,AFG,Ecuador,ECU,79,29,0,,0,0
2008,Afghanistan,AFG,Estonia,EST,6,0,0,,0,0
2008,Afghanistan,AFG,Finland,FIN,578,213,0,,0,0
2008,Afghanistan,AFG,France,FRA,1345,0,0,,0,0
2008,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,23079,0,0,,0,0
2008,Afghanistan,AFG,Georgia,GEO,5,0,0,,0,0
2008,Afghanistan,AFG,Germany,DEU,25108,1729,0,,0,1632
2008,Afghanistan,AFG,Greece,GRC,178,1522,0,,0,0
2008,Afghanistan,AFG,"China, Hong Kong SAR",HKG,0,6,0,,0,0
2008,Afghanistan,AFG,Hungary,HUN,2110,54,0,,0,0
2008,Afghanistan,AFG,Iceland,ISL,0,5,0,,0,0
2008,Afghanistan,AFG,"Cote d'Ivoire",CIV,16,0,0,,0,0
2008,Afghanistan,AFG,India,IND,8441,1661,0,,0,0
2008,Afghanistan,AFG,Indonesia,IDN,29,136,0,,0,0
2008,Afghanistan,AFG,Ireland,IRL,127,122,0,,0,0
2008,Afghanistan,AFG,"Iran (Islamic Rep. of)",IRN,935595,1575,0,,0,0
2008,Afghanistan,AFG,Italy,ITA,2315,0,0,,0,0
2008,Afghanistan,AFG,Japan,JPN,56,11,0,,0,0
2008,Afghanistan,AFG,Kazakhstan,KAZ,493,56,0,,0,0
2008,Afghanistan,AFG,Kyrgyzstan,KGZ,267,425,0,,0,0
2008,Afghanistan,AFG,Kuwait,KWT,0,1795,0,,0,0
2008,Afghanistan,AFG,Lebanon,LBN,8,6,0,,0,0
2008,Afghanistan,AFG,"Sri Lanka",LKA,5,5,0,,0,0
2008,Afghanistan,AFG,Lithuania,LTU,97,0,0,,0,0
2008,Afghanistan,AFG,Latvia,LVA,0,8,0,,0,0
2008,Afghanistan,AFG,"Rep. of Moldova",MDA,10,0,0,,0,0
2008,Afghanistan,AFG,Malaysia,MYS,62,465,0,,0,0
2008,Afghanistan,AFG,Malta,MLT,8,0,0,,0,0
2008,Afghanistan,AFG,Netherlands,NLD,13477,0,0,,0,0
2008,Afghanistan,AFG,Norway,NOR,3418,1839,0,,0,0
2008,Afghanistan,AFG,"New Zealand",NZL,167,5,0,,0,0
2008,Afghanistan,AFG,Pakistan,PAK,1780150,2535,0,,0,0
2008,Afghanistan,AFG,Poland,POL,68,5,0,,0,0
2008,Afghanistan,AFG,Portugal,PRT,8,0,0,,0,0
2008,Afghanistan,AFG,Romania,ROU,230,0,0,,0,0
2008,Afghanistan,AFG,"South Africa",ZAF,18,0,0,,0,0
2008,Afghanistan,AFG,"Russian Federation",RUS,2365,841,0,,0,0
2008,Afghanistan,AFG,"Saudi Arabia",SAU,0,5,0,,0,0
2008,Afghanistan,AFG,Spain,ESP,69,0,0,,0,0
2008,Afghanistan,AFG,Slovakia,SVK,76,0,0,,0,0
2008,Afghanistan,AFG,Slovenia,SVN,0,9,0,,0,0
2008,Afghanistan,AFG,Sweden,SWE,2946,604,0,,0,0
2008,Afghanistan,AFG,Switzerland,CHE,1610,582,0,,0,0
2008,Afghanistan,AFG,"Syrian Arab Rep.",SYR,517,289,0,,0,0
2008,Afghanistan,AFG,Tajikistan,TJK,1790,41,0,,0,0
2008,Afghanistan,AFG,Turkmenistan,TKM,46,0,0,,0,0
2008,Afghanistan,AFG,Turkey,TUR,347,2816,0,,0,0
2008,Afghanistan,AFG,Ukraine,UKR,1156,454,0,,0,0
2008,Afghanistan,AFG,"United States of America",USA,2102,63,0,,0,0
2008,Afghanistan,AFG,Uzbekistan,UZB,809,0,0,,0,0
2009,Afghanistan,AFG,Afghanistan,AFG,0,0,297129,,0,0
2009,Afghanistan,AFG,Australia,AUS,5664,54,0,,0,0
2009,Afghanistan,AFG,Austria,AUT,6401,2808,0,,0,0
2009,Afghanistan,AFG,Azerbaijan,AZE,149,15,0,,0,508
2009,Afghanistan,AFG,Belgium,BEL,271,0,0,,0,0
2009,Afghanistan,AFG,Belarus,BLR,408,61,0,,0,0
2009,Afghanistan,AFG,Brazil,BRA,12,0,0,,0,0
2009,Afghanistan,AFG,Bulgaria,BGR,2039,388,0,,0,0
2009,Afghanistan,AFG,Canada,CAN,3015,690,0,,0,0
2009,Afghanistan,AFG,"Cayman Islands",CYM,0,5,0,,0,0
2009,Afghanistan,AFG,China,CHN,7,0,0,,0,0
2009,Afghanistan,AFG,Cyprus,CYP,7,45,0,,0,0
2009,Afghanistan,AFG,Czechia,CZE,222,10,0,,0,0
2009,Afghanistan,AFG,Denmark,DNK,5026,328,0,,0,0
2009,Afghanistan,AFG,Ecuador,ECU,105,24,0,,0,0
2009,Afghanistan,AFG,Estonia,EST,6,9,0,,0,0
2009,Afghanistan,AFG,Fiji,FJI,0,5,0,,0,0
2009,Afghanistan,AFG,Finland,FIN,656,346,0,,0,0
2009,Afghanistan,AFG,France,FRA,1567,0,0,,0,0
2009,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,23658,0,0,,0,0
2009,Afghanistan,AFG,Germany,DEU,30320,3891,0,,0,971
2009,Afghanistan,AFG,Greece,GRC,148,0,0,,0,0
2009,Afghanistan,AFG,"China, Hong Kong SAR",HKG,0,15,0,,0,0
2009,Afghanistan,AFG,Croatia,HRV,5,9,0,,0,0
2009,Afghanistan,AFG,Hungary,HUN,1907,198,0,,0,0
2009,Afghanistan,AFG,Iceland,ISL,5,0,0,,0,0
2009,Afghanistan,AFG,"Cote d'Ivoire",CIV,17,0,0,,0,0
2009,Afghanistan,AFG,India,IND,8528,1335,0,,0,0
2009,Afghanistan,AFG,Indonesia,IDN,220,1411,0,,0,0
2009,Afghanistan,AFG,Ireland,IRL,149,55,0,,0,0
2009,Afghanistan,AFG,"Iran (Islamic Rep. of)",IRN,1022494,1718,0,,0,0
2009,Afghanistan,AFG,Italy,ITA,3039,0,0,,0,0
2009,Afghanistan,AFG,Jordan,JOR,5,20,0,,0,0
2009,Afghanistan,AFG,Japan,JPN,57,0,0,,0,0
2009,Afghanistan,AFG,Kazakhstan,KAZ,429,20,0,,0,0
2009,Afghanistan,AFG,Kyrgyzstan,KGZ,323,318,0,,0,0
2009,Afghanistan,AFG,"Rep. of Korea",KOR,0,9,0,,0,0
2009,Afghanistan,AFG,Kuwait,KWT,0,1800,0,,0,0
2009,Afghanistan,AFG,Lebanon,LBN,8,6,0,,0,0
2009,Afghanistan,AFG,"Sri Lanka",LKA,0,5,0,,0,0
2009,Afghanistan,AFG,Lithuania,LTU,100,5,0,,0,0
2009,Afghanistan,AFG,Luxembourg,LUX,0,11,0,,0,0
2009,Afghanistan,AFG,Latvia,LVA,5,20,0,,0,0
2009,Afghanistan,AFG,"Rep. of Moldova",MDA,9,7,0,,0,0
2009,Afghanistan,AFG,Malaysia,MYS,248,296,0,,0,0
2009,Afghanistan,AFG,Malta,MLT,8,0,0,,0,0
2009,Afghanistan,AFG,Netherlands,NLD,9383,1604,0,,0,0
2009,Afghanistan,AFG,Norway,NOR,4415,3251,0,,0,0
2009,Afghanistan,AFG,"New Zealand",NZL,169,5,0,,0,0
2009,Afghanistan,AFG,Pakistan,PAK,1739935,2189,0,,0,0
2009,Afghanistan,AFG,Panama,PAN,0,5,0,,0,0
2009,Afghanistan,AFG,Poland,POL,67,10,0,,0,0
2009,Afghanistan,AFG,Portugal,PRT,7,0,0,,0,0
2009,Afghanistan,AFG,Romania,ROU,102,27,0,,0,0
2009,Afghanistan,AFG,"South Africa",ZAF,18,0,0,,0,0
2009,Afghanistan,AFG,"Russian Federation",RUS,2079,646,0,,0,0
2009,Afghanistan,AFG,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,0,15,0,,0,0
2009,Afghanistan,AFG,Spain,ESP,70,0,0,,0,0
2009,Afghanistan,AFG,Slovakia,SVK,101,0,0,,0,0
2009,Afghanistan,AFG,Slovenia,SVN,5,7,0,,0,0
2009,Afghanistan,AFG,Sweden,SWE,3637,1061,0,,0,0
2009,Afghanistan,AFG,Switzerland,CHE,1683,869,0,,0,0
2009,Afghanistan,AFG,"Syrian Arab Rep.",SYR,963,467,0,,0,0
2009,Afghanistan,AFG,Tajikistan,TJK,2673,1510,0,,0,0
2009,Afghanistan,AFG,Turkmenistan,TKM,29,0,0,,0,0
2009,Afghanistan,AFG,Turkey,TUR,1040,1896,0,,0,0
2009,Afghanistan,AFG,"United Arab Emirates",ARE,5,0,0,,0,0
2009,Afghanistan,AFG,Ukraine,UKR,1239,847,0,,0,0
2009,Afghanistan,AFG,"United States of America",USA,1711,60,0,,0,0
2009,Afghanistan,AFG,Uzbekistan,UZB,546,0,0,,0,0
2010,Afghanistan,AFG,Afghanistan,AFG,0,0,351907,,0,838250
2010,Afghanistan,AFG,Australia,AUS,5518,68,0,,0,0
2010,Afghanistan,AFG,Austria,AUT,7359,2696,0,,0,0
2010,Afghanistan,AFG,Azerbaijan,AZE,718,0,0,,0,0
2010,Afghanistan,AFG,Belgium,BEL,501,0,0,,0,0
2010,Afghanistan,AFG,Belarus,BLR,417,55,0,,0,0
2010,Afghanistan,AFG,Brazil,BRA,22,0,0,,0,0
2010,Afghanistan,AFG,"Bosnia and Herzegovina",BIH,0,11,0,,0,0
2010,Afghanistan,AFG,Bulgaria,BGR,2048,402,0,,0,0
2010,Afghanistan,AFG,Canada,CAN,2727,592,0,,0,0
2010,Afghanistan,AFG,"Cayman Islands",CYM,0,5,0,,0,0
2010,Afghanistan,AFG,China,CHN,7,0,0,,0,0
2010,Afghanistan,AFG,Chile,CHL,12,0,0,,0,0
2010,Afghanistan,AFG,Colombia,COL,0,5,0,,0,0
2010,Afghanistan,AFG,Cyprus,CYP,7,112,0,,0,0
2010,Afghanistan,AFG,Czechia,CZE,224,7,0,,0,0
2010,Afghanistan,AFG,Denmark,DNK,4467,974,0,,0,0
2010,Afghanistan,AFG,Ecuador,ECU,114,24,0,,0,0
2010,Afghanistan,AFG,Estonia,EST,12,0,0,,0,0
2010,Afghanistan,AFG,Fiji,FJI,0,5,0,,0,0
2010,Afghanistan,AFG,Finland,FIN,807,235,0,,0,0
2010,Afghanistan,AFG,France,FRA,1790,0,0,,0,0
2010,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,23406,0,0,,0,0
2010,Afghanistan,AFG,Georgia,GEO,5,0,0,,0,0
2010,Afghanistan,AFG,Germany,DEU,30404,7024,0,,0,1073
2010,Afghanistan,AFG,Greece,GRC,96,4552,0,,0,0
2010,Afghanistan,AFG,"China, Hong Kong SAR",HKG,6,6,0,,0,0
2010,Afghanistan,AFG,Croatia,HRV,5,16,0,,0,0
2010,Afghanistan,AFG,Hungary,HUN,1767,54,0,,0,0
